ROD_CISLO,MENO,PRIEZVISKO,ULICA,PSC
756202/8238,Romana,Jakabová,Finková 586,97101
945718/9343,Romana,Lukácová,Karulová 877,90101
606123/3045,Paulína,Richtárová,Martánová 241,01001
915527/5361,Vanesa,Cígerová,Hliníková 280,96001
805518/9626,Lubica,Papová,Tóthová 501,03601
645215/9410,Eleonóra,Cerníková,Lukácová 421,03601
925723/7973,Lenka,Jurášová,Pavelová 312,05801
705623/8124,Michaela,Heretiková,Martánová 72,90101
995418/6679,Ivana,Kovácová,Hostáková 792,96901
715201/3442,Renáta,Nováková,Hudáková 706,05801
695419/5737,Alica,Nováková,Orlíková 902,03861
735227/7407,Sona,Jánošová,Rosová 409,96001
905916/7368,Eliška,Vencelová,Karulová 118,97101
755515/6976,Alica,Zajacová,Finková 314,03861
986209/1805,Helena,Vencelová,Némethová 137,08001
545326/8478,Laura,Nezvalová,Rosová 635,03601
715128/9317,Vlasta,Simonová,Koceková 448,96001
506102/2379,Nina,Svrbíková,Chovanová 193,95801
686020/3157,Perla,Martánová,Dullová 69,97401
705412/2919,Laura,Marcinová,Mikuláková 98,97101
815219/5715,Katarína,Mikuláková,Nováková 272,96001
835309/1205,Alica,Konrádová,Puškárová 362,96001
955921/6074,Miloslava,Jakabová,Maderová 917,08001
585519/2725,Eva,Hliníková,Skokanová 341,01001
925124/9624,Marcela,Finková,Nováková 644,95801
785905/3365,Vlasta,Vencelová,Pavelová 616,97101
845117/5491,Zora,Konrádová,Lojová 799,97101
985215/9818,Ivana,Puškárová,Karulová 175,97101
745920/6711,Nina,Jurovicová,Orlíková 682,03861
946228/7916,Lenka,Tušová,Kováciková 230,96901
505602/8947,Miloslava,Pucherová,Svrbíková 483,96001
545810/7344,Jana,Markovicová,Jánošová 431,95801
965506/6934,Alica,Jakabová,Murinová 313,03601
755826/5256,Nina,Nováková,Balážová 538,03601
545722/2454,Romana,Ondrášová,Kovácová 695,96901
835705/8594,Milena,Finková,Papová 330,96001
705702/7834,Katarína,Nováková,Hanaková 616,96001
785411/7137,Vanesa,Abrahámová,Danová 868,03601
905623/9275,Júlia,Mráziková,Nováková 705,91101
745926/8633,Jana,Némethová,Richtárová 269,97401
735302/9503,Sona,Fischerová,Hudáková 231,97401
835923/4681,Veronika,Bezáková,Rosová 972,97401
985109/8830,Eleonóra,Bezáková,Marcinová 658,03601
735122/6835,Dana,Pavelová,Jurášová 960,97101
516111/2560,Marcela,Gajdošová,Dullová 199,05801
805913/8479,Zlatica,Maderová,Tatárová 451,05801
805310/7305,Gabriela,Puškárová,Cígerová 997,08001
596002/1273,Veronika,Palovicová,Heretiková 138,91101
625810/7879,Daniela,Konrádová,Richtárová 344,01001
765711/6633,Katarína,Karulová,Simonová 211,97401
885624/8822,Veronika,Gálisová,Oláhová 235,97401
815727/5720,Silvia,Némethová,Horváthová 749,90101
985121/4030,Júlia,Jurášová,Lojová 785,95801
965917/7347,Vilma,Dullová,Trlíková 327,03861
575614/4431,Vlasta,Bezáková,Jurášová 812,08001
675101/7469,Natália,Bakošová,Balážová 56,97401
